"Estacion","Fecha","Temp_max","Temp_min","Cantidad_ml"
"10,131","18/03/2011 ",25,14,NA
"10,131","19/03/2011 ",29,13,NA
"10,131","20/03/2011 ",31,16,NA
"10,131","21/03/2011 ",31,15,NA
"10,131","22/03/2011 ",30,19,NA
"10,131","23/03/2011 ",26,17,NA
"10,131","24/03/2011 ",24,15,NA
"10,131","25/03/2011 ",27,12,NA
"10,131","26/03/2011 ",21,13,NA
"10,131","27/03/2011 ",22,11,NA
"10,131","28/03/2011 ",26,12,NA
"10,131","29/03/2011 ",29,10,NA
"10,131","30/03/2011 ",30,12,NA
"10,131","31/03/2011 ",29,16,NA
"10,131","01/04/2011 ",25,18,NA
"10,131","02/04/2011 ",26,17,NA
"10,131","03/04/2011 ",28,13,NA
"10,131","04/04/2011 ",28,13,NA
"10,131","05/04/2011 ",29,12,NA
"10,131","06/04/2011 ",30,14,NA
"10,131","07/04/2011 ",28,17,NA
"10,131","08/04/2011 ",28,14,NA
"10,131","09/04/2011 ",30,14,0.6
"10,131","10/04/2011 ",24,16,0
"10,131","11/04/2011 ",28,11,NA
"10,131","12/04/2011 ",28,12,NA
"10,131","13/04/2011 ",33,14,NA
"10,131","14/04/2011 ",27,14,NA
"10,131","15/04/2011 ",21,9,NA
"10,131","16/04/2011 ",22,7,NA
"10,131","17/04/2011 ",20,10,NA
"10,131","18/04/2011 ",24,7,NA
"10,131","19/04/2011 ",26,7,NA
"10,131","20/04/2011 ",24,9,NA
"10,131","21/04/2011 ",28,9,NA
"10,131","22/04/2011 ",31,13,NA
"10,131","23/04/2011 ",21,6,NA
"10,131","24/04/2011 ",25,6,NA
"10,131","25/04/2011 ",23,12,NA
"10,131","26/04/2011 ",25,8,NA
"10,131","27/04/2011 ",27,9,NA
"10,131","28/04/2011 ",18,9,0
"10,131","29/04/2011 ",17,6,NA
"10,131","30/04/2011 ",18,5,0
"10,131","01/05/2011 ",13,8,NA
"10,131","02/05/2011 ",17,1,NA
"10,131","03/05/2011 ",19,2,NA
"10,131","04/05/2011 ",24,2,NA
"10,131","05/05/2011 ",25,7,NA
"10,131","06/05/2011 ",22,7,NA
"10,131","07/05/2011 ",25,8,NA
"10,131","08/05/2011 ",20,7,NA
"10,131","09/05/2011 ",21,4,NA
"10,131","10/05/2011 ",21,3,NA
"10,131","11/05/2011 ",21,9,NA
"10,131","12/05/2011 ",21,7,NA
"10,131","13/05/2011 ",25,9,NA
"10,131","14/05/2011 ",21,11,NA
"10,131","15/05/2011 ",22,10,NA
"10,131","16/05/2011 ",18,9,NA
"10,131","17/05/2011 ",21,12,NA
"10,131","18/05/2011 ",21,6,NA
"10,131","19/05/2011 ",20,6,NA
"10,131","20/05/2011 ",16,9,NA
"10,131","21/05/2011 ",15,1,NA
"10,131","22/05/2011 ",16,6,NA
"10,131","23/05/2011 ",16,1,NA
"10,131","24/05/2011 ",21,5,NA
"10,131","25/05/2011 ",20,5,NA
"10,131","26/05/2011 ",20,4,NA
"10,131","27/05/2011 ",19,4,NA
"10,131","28/05/2011 ",12,5,NA
"10,131","29/05/2011 ",15,3,NA
"10,131","30/05/2011 ",15,8,NA
"10,131","31/05/2011 ",18,2,NA
"10,131","01/06/2011 ",18,4,NA
"10,131","02/06/2011 ",20,6,NA
"10,131","03/06/2011 ",16,3,NA
"10,131","04/06/2011 ",14,2,NA
"10,131","05/06/2011 ",14,5,NA
"10,131","06/06/2011 ",15,7,NA
"10,131","07/06/2011 ",15,2,NA
"10,131","08/06/2011 ",16,1,NA
"10,131","09/06/2011 ",21,4,NA
"10,131","10/06/2011 ",20,5,NA
"10,131","11/06/2011 ",21,4,NA
"10,131","12/06/2011 ",20,6,NA
"10,131","13/06/2011 ",16,4,NA
"10,131","14/06/2011 ",16,0,NA
"10,131","15/06/2011 ",15,1,NA
"10,131","16/06/2011 ",15,3,NA
"10,131","17/06/2011 ",15,3,NA
"10,131","18/06/2011 ",15,2,NA
"10,131","19/06/2011 ",16,2,NA
"10,131","20/06/2011 ",16,7,NA
"10,131","21/06/2011 ",14,7,NA
"10,131","22/06/2011 ",13,0,NA
"10,131","23/06/2011 ",17,-2,NA
"10,131","24/06/2011 ",11,1,NA
"10,131","25/06/2011 ",9,-1,NA
"10,131","26/06/2011 ",11,-4,NA
"10,131","27/06/2011 ",13,-5,NA
"10,131","28/06/2011 ",15,-4,NA
"10,131","29/06/2011 ",13,-1,NA
"10,131","30/06/2011 ",10,4,NA
"10,131","01/07/2011 ",10,-1,NA
"10,131","02/07/2011 ",10,-1,NA
"10,131","03/07/2011 ",9,-4,NA
"10,131","04/07/2011 ",12,-6,NA
"10,131","05/07/2011 ",12,-2,NA
"10,131","06/07/2011 ",15,-3,NA
"10,131","07/07/2011 ",18,-3,NA
"10,131","08/07/2011 ",18,3,NA
"10,131","09/07/2011 ",26,1,NA
"10,131","10/07/2011 ",22,5,NA
"10,131","11/07/2011 ",18,3,NA
"10,131","12/07/2011 ",19,8,NA
"10,131","13/07/2011 ",18,4,NA
"10,131","14/07/2011 ",29,1,NA
"10,131","15/07/2011 ",21,9,NA
"10,131","16/07/2011 ",15,1,NA
"10,131","17/07/2011 ",13,0,NA
"10,131","18/07/2011 ",9,4,NA
"10,131","19/07/2011 ",5,1,NA
"10,131","20/07/2011 ",12,-2,NA
"10,131","21/07/2011 ",16,-2,NA
"10,131","22/07/2011 ",18,-1,NA
"10,131","23/07/2011 ",20,0,NA
"10,131","24/07/2011 ",19,1,NA
"10,131","25/07/2011 ",18,1,NA
"10,131","26/07/2011 ",16,1,NA
"10,131","27/07/2011 ",17,0,NA
"10,131","28/07/2011 ",18,1,NA
"10,131","29/07/2011 ",12,5,1.5
"10,131","30/07/2011 ",5,1,0
"10,131","31/07/2011 ",8,-1,NA
"10,131","01/08/2011 ",12,-2,NA
"10,131","02/08/2011 ",15,-3,NA
